Ecoregions;Insect_Density;SumNat_PFC;Habitat_Heterogeneity;Pred_Density_Insect;lower_Density_Insect;upperr_Density_Insect
TPL;43;0.576171231;1.259;5.563635107;5.434336722;5.692933493
TPL;226;1.240467706;1.261;5.565175592;5.435767521;5.694583663
UMW;418;0.854814692;1.263;5.566716076;5.437197649;5.696234502
XER;31;0.765185945;1.264;5.567486318;5.437912463;5.697060173
XER;203;1.023821273;1.265;5.56825656;5.438627109;5.69788601
NAP;364;1.056650275;1.266;5.569026802;5.43934159;5.698712014
NAP;372;0.715932301;1.269;5.571337528;5.441484033;5.701191023
NAP;334;1.387530393;1.27;5.57210777;5.442197849;5.702017691
CPL;18;0.391885379;1.271;5.572878012;5.442911499;5.702844525
UMW;37;0.953431757;1.272;5.573648254;5.443624984;5.703671524
WMT;736;1.518753439;1.273;5.574418496;5.444338304;5.704498688
WMT;190;0.953431757;1.277;5.577499464;5.447189938;5.70780899
WMT;305;1.023821273;1.279;5.579039948;5.44861477;5.709465126
UMW;504;1.147195883;1.281;5.580580432;5.450038948;5.711121917
TPL;43;0.915550072;1.283;5.582120917;5.451462473;5.71277936
NAP;197;1.334375737;1.287;5.585201885;5.454307573;5.716096196
NAP;728;1.300543977;1.288;5.585972127;5.455018443;5.71692581
CPL;435;0.989464802;1.289;5.586742369;5.455729151;5.717755586
SAP;401;0.833406499;1.29;5.587512611;5.456439698;5.718585523
SAP;326;0.811359163;1.292;5.589053095;5.457860309;5.720245881
UMW;387;1.300543977;1.298;5.593674547;5.462118291;5.725230803
XER;402;0.895854746;1.301;5.595985273;5.464245127;5.727725419
XER;414;0.989464802;1.302;5.596755515;5.464953755;5.728557276
WMT;404;1.072533273;1.303;5.597525758;5.465662224;5.729389291
SAP;401;0.875619756;1.308;5.601376968;5.469202201;5.733551734
SAP;329;0.971668015;1.311;5.603687694;5.471324299;5.736051088
SAP;369;0.953431757;1.312;5.604457936;5.472031352;5.73688452
SAP;337;0.953431757;1.313;5.605228178;5.472738249;5.737718107
CPL;18;1.056650275;1.319;5.60984963;5.476976359;5.742722901
UMW;480;1.175068282;1.323;5.612930598;5.47979867;5.746062527
WMT;436;1.366725329;1.334;5.621403261;5.487547379;5.755259143
SAP;320;0.915550072;1.335;5.622173503;5.488250894;5.756096112
WMT;504;1.175068282;1.344;5.629105681;5.494575764;5.763635599
CPL;333;1.188619689;1.345;5.629875924;5.495277779;5.764474068
NAP;472;1.265087684;1.346;5.630646166;5.495979646;5.765312685
XER;598;1.323269799;1.347;5.631416408;5.496681363;5.766151452
CPL;26;1.006842803;1.353;5.63603786;5.500888562;5.771187158
TPL;685;0.934733772;1.356;5.638348586;5.502990173;5.773706999
SAP;437;1.161263564;1.357;5.639118828;5.503690418;5.774547239
WMT;1177;1.356098801;1.36;5.641429554;5.505790275;5.777068834
WMT;473;1.006842803;1.361;5.642199796;5.506489936;5.777909657
SAP;320;1.132855025;1.363;5.64374028;5.507888823;5.779591738
NAP;419;1.147195883;1.367;5.646821249;5.510684862;5.782957635
TPL;347;0.663157646;1.371;5.649902217;5.5134786;5.786325834
TPL;243;0.663157646;1.377;5.654523669;5.517664923;5.791382415
TPL;485;0.674018591;1.382;5.658374879;5.521149631;5.795600127
WMT;479;0.971668015;1.387;5.66222609;5.524630828;5.799821351
TPL;157;1.103309848;1.388;5.662996332;5.525326649;5.800666014
SAP;255;1.454492845;1.389;5.663766574;5.52602233;5.801510817
NAP;138;0.985939588;1.392;5.6660773;5.528108543;5.804046057
NAP;24;1.118230172;1.398;5.670698752;5.532277243;5.809120261
TPL;22;1.023821273;1.406;5.676860688;5.537827856;5.815893521
WMT;187;1.209424753;1.408;5.678401172;5.539214154;5.817588191
TPL;43;1.214998598;1.417;5.685333351;5.545445861;5.825220841
NAP;380;1.161263564;1.418;5.686103593;5.546137607;5.826069578
SAP;418;0.811359163;1.425;5.691495287;5.550976137;5.832014438
SAP;429;0.788633341;1.427;5.693035771;5.552357394;5.833714149
WMT;474;1.040418172;1.437;5.700738192;5.559255891;5.842220492
NPL;434;1.247733705;1.447;5.708440612;5.566141576;5.850739649
WMT;325;1.282725539;1.454;5.713832307;5.570954048;5.856710565
WMT;386;1.211001127;1.456;5.715372791;5.572327917;5.858417665
SAP;70;0.854814692;1.463;5.720764485;5.577132565;5.864396405
NPL;385;1.072533273;1.465;5.722304969;5.578504216;5.866105723
UMW;269;0.715932301;1.475;5.73000739;5.585355183;5.874659596
SAP;319;1.103309848;1.484;5.736939568;5.591510797;5.882368339
NAP;350;1.147195883;1.493;5.743871747;5.597656854;5.890086639
NAP;200;1.072533273;1.494;5.744641989;5.598339166;5.890944811
NAP;431;1.300543977;1.501;5.750033683;5.603112116;5.896955249
WMT;453;1.288913328;1.51;5.756965861;5.609240539;5.904691184
WMT;460;0.989464802;1.514;5.76004683;5.611961346;5.908132313
