Ecoregions;Insect_Richness;SumNat_PFC;Habitat_Heterogeneity;Pred_Richness_Insect;lower_Richness_Insect;upperr_Richness_Insect
SAP;52;1.147195883;1.062;5.198810174;5.066200677;5.331419671
SAP;36;0.971668015;1.063;5.1998852;5.067254004;5.332516395
SAP;26;0.854814692;1.064;5.200960225;5.068307093;5.333613357
SAP;47;1.201926913;1.065;5.202035251;5.069359943;5.334710558
UMW;22;0.811359162;1.068;5.205260328;5.072517065;5.33800359
UMW;16;1.132855025;1.069;5.206335353;5.073568963;5.339101743
NAP;22;0.903796016;1.071;5.208485405;5.075672046;5.341298763
NAP;15;0.57617123;1.073;5.210635456;5.077774179;5.343496732
SAP;44;1.147195882;1.074;5.211710482;5.07882489;5.344596073
SAP;14;0.606319536;1.077;5.214935558;5.081975599;5.347895518
WMT;26;1.118230173;1.079;5.21708561;5.084074888;5.350096332
CPL;30;1.201926913;1.08;5.218160635;5.085124178;5.351197093
WMT;38;1.323269799;1.083;5.221385712;5.088270629;5.354500795
CPL;27;0.635285246;1.085;5.223535764;5.090367084;5.356704443
CPL;2;0.953431757;1.087;5.225685815;5.092462596;5.358909034
TPL;27;0.788633341;1.088;5.22676084;5.093509999;5.360011682
SAP;25;1.311994298;1.09;5.228910892;5.0956041;5.362217684
CPL;8;0.064260594;1.091;5.229985917;5.096650798;5.363321037
SAP;9;0.403639436;1.093;5.232135969;5.098743489;5.365528448
SAP;32;1.132855025;1.094;5.233210994;5.099789483;5.366632505
TPL;25;0.875619757;1.097;5.236436071;5.102926061;5.369946082
WMT;47;1.259009205;1.098;5.237511097;5.103971118;5.371051075
XER;40;1.437114845;1.099;5.238586123;5.105015943;5.372156302
CPL;11;1.147195883;1.102;5.241811199;5.108149015;5.375473384
SAP;21;0.690016276;1.103;5.242886225;5.109192906;5.376579544
TPL;21;0.915550072;1.104;5.243961251;5.110236564;5.377685937
SAP;26;0.811359163;1.106;5.246111302;5.112323183;5.379899421
TPL;8;0.668608083;1.108;5.248261353;5.114408872;5.382113834
CPL;37;1.201926913;1.111;5.25148643;5.117535666;5.385437194
WMT;35;0.989464802;1.112;5.252561456;5.118577468;5.386545444
NAP;32;0.971668015;1.115;5.255786533;5.121701485;5.389871581
TPL;4;0.915550072;1.117;5.257936584;5.123783008;5.39209016
WMT;28;0.875619756;1.118;5.25901161;5.124823424;5.393199795
NAP;29;1.245457799;1.12;5.261161661;5.126903565;5.395419757
SAP;25;0.635285247;1.121;5.262236687;5.127943291;5.396530083
WMT;51;0.989464802;1.124;5.265461763;5.13106109;5.399862437
WMT;56;1.240467706;1.125;5.266536789;5.132099897;5.400973681
NAP;23;0.715932301;1.126;5.267611815;5.133138476;5.402085154
WMT;34;1.056650275;1.127;5.26868684;5.134176826;5.403196855
WMT;45;1.323269799;1.128;5.269761866;5.135214947;5.404308785
SAP;42;0.989464802;1.129;5.270836892;5.13625284;5.405420944
WMT;31;1.323269799;1.131;5.272986943;5.13832794;5.407645946
WMT;43;0.854814692;1.133;5.275136994;5.14040213;5.409871859
WMT;52;1.103309848;1.138;5.280512122;5.145583625;5.41544062
CPL;16;0.854814692;1.14;5.282662174;5.147654636;5.417669711
SAP;40;1.040418172;1.142;5.284812225;5.149724742;5.419899708
SAP;53;1.161263564;1.146;5.289112328;5.153862248;5.424362407
CPL;19;0.477554166;1.147;5.290187353;5.154896062;5.425478644
CPL;8;0.36370912;1.153;5.296637507;5.161094233;5.432180781
SAP;35;0.8334065;1.158;5.302012635;5.166253228;5.437772042
SAP;8;0.740969646;1.161;5.305237712;5.169345955;5.441129469
TPL;23;0.321495863;1.166;5.31061284;5.174496068;5.446729613
TPL;15;1.098990942;1.167;5.311687866;5.175525427;5.447850304
SPL;35;1.118230173;1.169;5.313837917;5.177583486;5.450092349
SAP;14;1.37720112;1.171;5.315987969;5.179640664;5.452335273
CPL;6;1.088081867;1.172;5.317062994;5.180668924;5.453457064
SAP;13;0.635285246;1.174;5.319213045;5.182724786;5.455701305
WMT;41;1.221448691;1.175;5.320288071;5.183752389;5.456823753
WMT;30;1.094210789;1.176;5.321363097;5.184779773;5.45794642
