Ecoregions;Insect_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Insect;lower_Replacement_Insect;upperr_Replacement_Insect
XER;0.001974034;1.465342393;0.96;-10.04329918;-10.37763238;-9.708965986
TPL;0.001152786;0.765185945;0.961;-10.04291944;-10.37725215;-9.708586737
NAP;0.001353132;0.998204915;0.964;-10.04178022;-10.37611171;-9.707448733
NAP;0.001305601;1.265087684;0.966;-10.04102074;-10.37535163;-9.706689849
UMW;0.000916465;0.477554166;0.97;-10.03950177;-10.37383199;-9.705171564
UMW;0.001063076;0.895854746;0.972;-10.03874229;-10.37307242;-9.704412163
CPL;0.001093206;0.895854746;0.974;-10.03798281;-10.37231303;-9.703652591
SAP;0.001230665;1.056650275;0.975;-10.03760307;-10.3719334;-9.70327274
WMT;0.000958407;1.277096581;0.976;-10.03722333;-10.37155381;-9.702892846
SPL;0.001141846;0.971668015;0.977;-10.03684359;-10.37117427;-9.702512909
UMW;0.000913436;0.765185945;0.978;-10.03646385;-10.37079477;-9.702132929
UMW;0.001267045;0.854814692;0.979;-10.03608411;-10.37041531;-9.701752906
CPL;0.000761585;0.983157924;0.981;-10.03532462;-10.36965652;-9.700992731
WMT;0.000784567;0.953431757;0.982;-10.03494488;-10.36927719;-9.700612579
CPL;0.000940813;0.934733772;0.983;-10.03456514;-10.3688979;-9.700232383
CPL;0.00085481;1.006842803;0.986;-10.03342592;-10.3677603;-9.69909154
NAP;0.001353847;1.103309848;0.989;-10.0322867;-10.36662309;-9.697950309
SAP;0.000923345;0.897848084;0.991;-10.03152722;-10.36586516;-9.697189274
UMW;0.00089423;1.118230172;0.992;-10.03114747;-10.36548626;-9.696808692
CPL;0.000582395;1.040418172;0.997;-10.02924877;-10.36359241;-9.694905135
CPL;0.00112811;0.934733772;0.998;-10.02886903;-10.36321376;-9.694524295
CPL;0.000714691;0.953431757;1;-10.02810955;-10.36245661;-9.693762485
TPL;0.000811167;0.321495863;1.002;-10.02735007;-10.36169963;-9.693000503
SAP;0.000828751;0.606319536;1.005;-10.02621084;-10.36056448;-9.691857207
SAP;0.000868451;0.690016276;1.007;-10.02545136;-10.35980793;-9.691094795
SAP;0.001032068;1.006842803;1.008;-10.02507162;-10.35942971;-9.690713525
SAP;0.001417223;1.161263564;1.009;-10.02469188;-10.35905155;-9.690332211
NAP;0.00156655;1.118230173;1.012;-10.02355266;-10.3579173;-9.689188012
CPL;0.000794973;0.477554166;1.014;-10.02279317;-10.35716135;-9.688424998
SAP;0.001044896;1.214998598;1.015;-10.02241343;-10.35678344;-9.688043427
SAP;0.001078828;1.072533273;1.017;-10.02165395;-10.35602775;-9.687280154
CPL;0.001497388;0.788633341;1.022;-10.01975525;-10.35413927;-9.685371221
SAP;0.000527537;1.046547095;1.024;-10.01899577;-10.35338418;-9.684607347
NAP;0.000798708;0.875619756;1.025;-10.01861602;-10.3530067;-9.684225345
SAP;0.000820044;0.715932301;1.027;-10.01785654;-10.35225187;-9.683461213
UMW;0.000975976;0.971668015;1.034;-10.01519836;-10.34961132;-9.680785395
CPL;0.00043586;1.288913328;1.037;-10.01405913;-10.34848029;-9.679637972
CPL;0.000659629;1.277096581;1.039;-10.01329965;-10.34772649;-9.678872807
SAP;0.000701973;1.006842803;1.04;-10.01291991;-10.34734966;-9.678490161
SAP;0.000968278;1.300543977;1.042;-10.01216043;-10.34659612;-9.677724739
CPL;0.000451984;0.811359163;1.044;-10.01140095;-10.34584275;-9.676959145
SAP;0.000725308;0.895854746;1.046;-10.01064146;-10.34508955;-9.676193379
