Ecoregions;Fish_Richness;SumNat_PFC;Habitat_Heterogeneity;Pred_Richness_Fish;lower_Richness_Fish;upperr_Richness_Fish
CPL;17;1.318826611;1.01;3.00176017;2.787628106;3.215892235
CPL;17;1.153169995;1.012;3.002871705;2.788730732;3.217012679
CPL;26;0.179033139;1.014;3.003983241;2.789832799;3.218133682
CPL;17;1.045836231;1.017;3.005650544;2.791484852;3.219816235
CPL;20;0.920317871;1.019;3.006762079;2.792585522;3.220938635
CPL;16;1.221325798;1.022;3.008429382;2.794235481;3.222623283
CPL;18;0.769170711;1.027;3.01120822;2.796982619;3.225433821
CPL;16;0.514576451;1.029;3.012319755;2.798080497;3.226559013
CPL;21;1.078118574;1.031;3.01343129;2.799177817;3.227684764
CPL;24;0.514576451;1.039;3.017877431;2.803561519;3.232193344
CPL;12;0.40574142;1.042;3.019544734;2.805203107;3.233886362
CPL;18;0.547576413;1.043;3.020100502;2.805750024;3.23445098
CPL;10;0.65871339;1.044;3.02065627;2.806296802;3.235015737
CPL;14;0.578741946;1.046;3.021767805;2.80738994;3.23614567
CPL;24;0.638593544;1.047;3.022323573;2.8079363;3.236710845
CPL;29;0.833366711;1.049;3.023435108;2.809028603;3.237841613
CPL;20;0.719660575;1.051;3.024546643;2.810120349;3.238972937
CPL;35;0.547576413;1.052;3.025102411;2.810666013;3.239538809
CPL;17;0.323170078;1.053;3.025658178;2.811211538;3.240104819
CPL;18;0.443820376;1.055;3.026769714;2.812302171;3.241237257
CPL;17;0.480041067;1.059;3.028992784;2.814481767;3.243503801
CPL;18;0.76917071;1.061;3.030104319;2.815570731;3.244637907
CPL;9;0.547576413;1.062;3.030660087;2.816115005;3.245205169
CPL;11;0.393926153;1.065;3.03232739;2.817746992;3.246907787
CPL;18;0.880179615;1.068;3.033994693;2.81937773;3.248611656
CPL;13;0.547576413;1.069;3.03455046;2.819921032;3.249179889
NAP;3;1.211126151;1.07;3.035106228;2.820464195;3.249748262
NAP;12;0.976728052;1.073;3.036773531;2.822092851;3.251454211
NAP;9;1.124053444;1.074;3.037329299;2.822635459;3.252023139
NAP;14;1.138754457;1.075;3.037885066;2.823177928;3.252592204
NAP;13;0.958396827;1.077;3.038996601;2.824262451;3.253730752
NAP;14;1.124053444;1.078;3.039552369;2.824804505;3.254300234
NAP;12;0.939601472;1.079;3.040108137;2.82534642;3.254869854
NAP;11;1.062152864;1.08;3.040663904;2.825888196;3.255439613
CPL;11;0.859266207;1.083;3.042331207;2.827512695;3.25714972
CPL;1;0.994617518;1.084;3.042886975;2.828053918;3.257720032
SAP;3;0.837746529;1.086;3.04399851;2.829135948;3.258861072
CPL;18;0.815584379;1.089;3.045665813;2.830757956;3.26057367
SAP;8;0.880179615;1.091;3.046777348;2.831838604;3.261716092
SAP;12;1.208186041;1.092;3.047333116;2.832378721;3.262287511
SAP;19;1.017247405;1.093;3.047888884;2.832918699;3.262859068
SAP;16;1.045836231;1.094;3.048444651;2.83345854;3.263430763
CPL;15;1.259404755;1.096;3.049556186;2.834537806;3.264574567
CPL;17;1.246927538;1.098;3.050667722;2.83561652;3.265718923
SAP;17;1.045836231;1.1;3.051779257;2.836694683;3.266863831
SAP;21;1.179811496;1.103;3.05344656;2.838310893;3.268582227
NAP;7;1.259404755;1.104;3.054002328;2.838849354;3.269155301
NAP;3;1.138754457;1.105;3.054558095;2.839387677;3.269728514
NAP;6;0.958396827;1.108;3.056225398;2.84100182;3.271448976
NAP;4;0.880179615;1.109;3.056781166;2.841539593;3.272022739
NAP;12;1.153169995;1.11;3.057336933;2.842077228;3.272596639
NAP;5;1.307316662;1.112;3.058448469;2.843152085;3.273744852
NAP;5;1.259404755;1.114;3.059560004;2.844226392;3.274893616
NAP;3;1.221325798;1.117;3.061227307;2.845836822;3.276617791
NAP;7;1.234237026;1.118;3.061783074;2.846373358;3.277192791
NAP;28;1.434894322;1.121;3.063450377;2.847982141;3.278918614
NAP;8;0.958396827;1.123;3.064561913;2.849053977;3.280069848
NAP;9;0.815584379;1.124;3.06511768;2.84958969;3.280645671
NAP;8;0.579171687;1.125;3.065673448;2.850125265;3.281221631
NAP;13;1.039207822;1.126;3.066229215;2.850660703;3.281797727
NAP;9;0.939601472;1.13;3.068452286;2.852801088;3.284103484
NAP;8;1.341324603;1.131;3.069008054;2.853335842;3.284680265
NAP;32;1.454177923;1.133;3.070119589;2.854404939;3.285834238
NAP;9;0.939601471;1.134;3.070675356;2.854939283;3.28641143
NAP;10;0.792740211;1.135;3.071231124;2.85547349;3.286988758
NAP;14;0.945290211;1.137;3.072342659;2.856541495;3.288143824
NAP;14;1.208186041;1.139;3.073454195;2.857608953;3.289299436
UMW;17;1.208186041;1.144;3.076233033;2.860275213;3.292190853
UMW;25;0.880179614;1.146;3.077344568;2.861340763;3.293348374
TPL;18;0.920317871;1.148;3.078456103;2.862405768;3.294506439
UMW;18;1.045836231;1.152;3.080679174;2.864534146;3.296824201
TPL;17;0.792740211;1.153;3.081234941;2.865065901;3.297403982
UMW;25;1.079696421;1.159;3.084569547;2.868253579;3.300885515
UMW;24;1.093748138;1.167;3.089015688;2.872496228;3.305535149
UMW;19;1.085974487;1.172;3.091794526;2.875143489;3.308445564
TPL;17;0.859266207;1.173;3.092350294;2.875672536;3.309028052
TPL;14;0.69360959;1.175;3.093461829;2.876730226;3.310193433
UMW;22;1.153169995;1.177;3.094573365;2.877787377;3.311359353
UMW;17;1.049128374;1.178;3.095129132;2.87831575;3.311942515
UMW;21;0.969449789;1.18;3.096240668;2.879372093;3.313109242
UMW;19;0.976728052;1.181;3.096796435;2.879900063;3.313692808
UMW;18;1.079170844;1.182;3.097352203;2.880427898;3.314276508
UMW;15;0.983487221;1.189;3.101242576;2.884118984;3.318366169
UMW;14;1.132908939;1.191;3.102354111;2.885172372;3.31953585
UMW;17;1.293264944;1.193;3.103465647;2.886225226;3.320706068
