Ecoregions;Fish_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Fish;lower_Replacement_Fish;upperr_Replacement_Fish
CPL;0.000222806;0.40574142;1.042;-9.899388276;-10.16623678;-9.632539775
CPL;0.001899314;0.547576413;1.043;-9.898291786;-10.16514766;-9.631435911
CPL;0.000212976;0.65871339;1.044;-9.897195297;-10.16405866;-9.630331936
CPL;0.002023631;0.578741946;1.046;-9.895002318;-10.16188098;-9.628123655
CPL;0.001560686;0.638593544;1.047;-9.893905828;-10.16079231;-9.627019349
CPL;0.001145804;0.833366711;1.049;-9.891712849;-10.15861529;-9.624810404
CPL;0.001761116;0.719660575;1.051;-9.88951987;-10.15643872;-9.622601018
CPL;0.000759092;0.547576413;1.052;-9.888423381;-10.1553506;-9.621496159
CPL;0.000907886;0.323170078;1.053;-9.887326891;-10.15426259;-9.62039119
CPL;0.001897028;0.443820376;1.055;-9.885133912;-10.1520869;-9.618180919
CPL;0.002033488;0.480041067;1.059;-9.880747954;-10.14773685;-9.613759053
CPL;0.001971196;0.76917071;1.061;-9.878554975;-10.14556249;-9.611547457
CPL;0.000216639;0.547576413;1.062;-9.877458485;-10.14447548;-9.610441494
CPL;0.000215164;0.393926153;1.065;-9.874169017;-10.14121509;-9.607122942
CPL;0.001913331;0.880179615;1.068;-9.870879548;-10.1379557;-9.603803396
CPL;0.000210712;0.547576413;1.069;-9.869783059;-10.13686946;-9.60269666
NAP;0.001299287;1.211126151;1.07;-9.868686569;-10.13578332;-9.601589814
NAP;0.00180928;0.976728052;1.073;-9.8653971;-10.13252559;-9.598268615
NAP;0.001928049;1.124053444;1.074;-9.864300611;-10.13143989;-9.597161327
NAP;0.002080046;1.138754457;1.075;-9.863204121;-10.13035431;-9.59605393
NAP;0.002102599;0.958396827;1.077;-9.861011142;-10.12818348;-9.593838805
NAP;0.001949424;1.124053444;1.078;-9.859914653;-10.12709823;-9.592731077
NAP;0.00197624;0.939601472;1.079;-9.858818163;-10.12601309;-9.591623239
NAP;0.002032114;1.062152864;1.08;-9.857721674;-10.12492806;-9.59051529
CPL;0.00165506;0.859266207;1.083;-9.854432205;-10.12167363;-9.587190785
CPL;7.96E-05;0.994617518;1.084;-9.853335715;-10.12058903;-9.586082396
SAP;0.000882446;0.837746529;1.086;-9.851142736;-10.11842018;-9.583865288
CPL;0.002041413;0.815584379;1.089;-9.847853268;-10.11516773;-9.580538801
SAP;0.002023488;0.880179615;1.091;-9.845660289;-10.11299998;-9.578320593
SAP;0.001952836;1.208186041;1.092;-9.844563799;-10.11191627;-9.577211324
SAP;0.001658592;1.017247405;1.093;-9.84346731;-10.11083267;-9.576101945
SAP;0.001890443;1.045836231;1.094;-9.84237082;-10.10974918;-9.574992456
