Ecoregions;Fish_Density;SumNat_PFC;Habitat_Heterogeneity;Pred_Density_Fish;lower_Density_Fish;upperr_Density_Fish
CPL;612;0.179033139;1.014;4.698330512;4.439464057;4.957196967
CPL;510;1.045836231;1.017;4.699992817;4.44110263;4.958883005
CPL;516;0.920317871;1.019;4.701101021;4.442193926;4.960008115
CPL;564;1.221325798;1.022;4.702763326;4.443829244;4.961697408
CPL;5753;0.769170711;1.027;4.705533835;4.446550435;4.964517234
CPL;483;0.514576451;1.029;4.706642038;4.447637394;4.965646683
CPL;664;1.078118574;1.031;4.707750242;4.448723485;4.966776998
CPL;502;0.514576451;1.039;4.712183056;4.453059188;4.971306923
CPL;248;0.40574142;1.042;4.713845361;4.454681504;4.973009217
CPL;342;0.547576413;1.043;4.714399463;4.455221844;4.973577081
CPL;569;0.65871339;1.044;4.714953564;4.455761967;4.974145162
CPL;590;0.578741946;1.046;4.716061768;4.456841564;4.975281971
CPL;580;0.638593544;1.047;4.71661587;4.457381038;4.975850701
CPL;546;0.833366711;1.049;4.717724073;4.458459339;4.976988807
CPL;545;0.719660575;1.051;4.718832276;4.459536775;4.978127778
CPL;367;0.547576413;1.052;4.719386378;4.460075169;4.978697588
CPL;510;0.323170078;1.053;4.71994048;4.460613347;4.979267613
CPL;516;0.443820376;1.055;4.721048683;4.461689055;4.980408312
CPL;369;0.480041067;1.059;4.72326509;4.463837882;4.982692299
CPL;281;0.76917071;1.061;4.724373294;4.464911001;4.983835587
CPL;567;0.547576413;1.062;4.724927396;4.465447237;4.984407554
CPL;625;0.393926153;1.065;4.726589701;4.467054652;4.98612475
CPL;501;0.880179615;1.068;4.728252006;4.468660129;4.987843884
CPL;194;0.547576413;1.069;4.728806108;4.469194857;4.988417359
NAP;42;1.211126151;1.07;4.72936021;4.46972937;4.988991049
NAP;74;0.976728052;1.073;4.731022515;4.471331618;4.990713411
NAP;193;1.124053444;1.074;4.731576617;4.471865271;4.991287962
NAP;540;1.138754457;1.075;4.732130718;4.472398709;4.991862728
NAP;660;0.958396827;1.077;4.733238922;4.473464939;4.993012904
NAP;223;1.124053444;1.078;4.733793024;4.473997732;4.993588315
NAP;293;0.939601472;1.079;4.734347125;4.474530311;4.99416394
NAP;118;1.062152864;1.08;4.734901227;4.475062674;4.99473978
CPL;186;0.859266207;1.083;4.736563532;4.476658477;4.996468587
CPL;5;0.994617518;1.084;4.737117634;4.477189983;4.997045285
SAP;445;0.837746529;1.086;4.738225837;4.47825235;4.998199325
CPL;350;0.815584379;1.089;4.739888143;4.479844294;4.999931992
SAP;1297;0.880179615;1.091;4.740996346;4.480904519;5.001088174
SAP;450;1.208186041;1.092;4.741550448;4.48143431;5.001666586
SAP;275;1.017247405;1.093;4.74210455;4.481963887;5.002245212
SAP;498;1.045836231;1.094;4.742658651;4.482493251;5.002824052
CPL;471;1.259404755;1.096;4.743766855;4.483551336;5.003982373
CPL;540;1.246927538;1.098;4.744875058;4.484608567;5.00514155
SAP;464;1.045836231;1.1;4.745983262;4.485664943;5.00630158
SAP;584;1.179811496;1.103;4.747645567;4.487247907;5.008043227
NAP;56;1.259404755;1.104;4.748199669;4.487775135;5.008624203
NAP;81;1.138754457;1.105;4.748753771;4.48830215;5.009205392
NAP;44;0.958396827;1.108;4.750416076;4.489881915;5.010950237
NAP;51;0.880179615;1.109;4.750970178;4.490408077;5.011532278
NAP;529;1.153169995;1.11;4.751524279;4.490934027;5.012114532
NAP;249;1.307316662;1.112;4.752632483;4.491985288;5.013279678
NAP;112;1.259404755;1.114;4.753740686;4.493035698;5.014445674
NAP;51;1.221325798;1.117;4.755402991;4.49460972;5.016196263
NAP;301;1.234237026;1.118;4.755957093;4.495133969;5.016780218
NAP;33;1.434894322;1.121;4.757619398;4.496705443;5.018533354
NAP;175;0.958396827;1.123;4.758727602;4.497752033;5.019703171
NAP;517;0.815584379;1.124;4.759281704;4.498275009;5.020288398
NAP;348;0.579171687;1.125;4.759835805;4.498797774;5.020873836
NAP;194;1.039207822;1.126;4.760389907;4.499320328;5.021459487
NAP;258;0.939601472;1.13;4.762606314;4.501408426;5.023804203
NAP;119;1.341324603;1.131;4.763160416;4.501929922;5.02439091
NAP;22;1.454177923;1.133;4.764268619;4.50297228;5.025564959
NAP;493;0.939601471;1.134;4.764822721;4.503493142;5.0261523
NAP;274;0.792740211;1.135;4.765376823;4.504013794;5.026739852
NAP;551;0.945290211;1.137;4.766485026;4.505054464;5.027915589
NAP;450;1.208186041;1.139;4.76759323;4.506094291;5.029092168
UMW;516;1.208186041;1.144;4.770363739;4.508690175;5.032037302
UMW;803;0.880179614;1.146;4.771471942;4.509727057;5.033216827
TPL;669;0.920317871;1.148;4.772580146;4.510763099;5.034397192
UMW;525;1.045836231;1.152;4.774796552;4.512832665;5.03676044
TPL;531;0.792740211;1.153;4.775350654;4.513349533;5.037351775
UMW;593;1.079696421;1.159;4.778675265;4.516446345;5.040904184
UMW;555;1.093748138;1.167;4.783108079;4.520563737;5.04565242
UMW;224;1.085974487;1.172;4.785878587;4.523130341;5.048626834
TPL;507;0.859266207;1.173;4.786432689;4.523643038;5.04922234
TPL;731;0.69360959;1.175;4.787540893;4.524667811;5.050413974
UMW;577;1.153169995;1.177;4.788649096;4.525691754;5.051606438
UMW;236;1.049128374;1.178;4.789203198;4.526203415;5.05220298
UMW;442;0.969449789;1.18;4.790311401;4.527226116;5.053396686
UMW;353;0.976728052;1.181;4.790865503;4.527737157;5.053993849
UMW;687;1.079170844;1.182;4.791419605;4.52824799;5.054591219
UMW;416;0.983487221;1.189;4.795298317;4.531818046;5.058778588
UMW;503;1.132908939;1.191;4.79640652;4.532836208;5.059976833
UMW;447;1.293264944;1.193;4.797514724;4.533853546;5.061175901
UMW;546;1.049128374;1.195;4.798622927;4.534870063;5.062375791
UMW;597;0.886340454;1.205;4.804163945;4.539940351;5.068387538
TPL;658;0.79274021;1.207;4.805272148;4.540951956;5.069592341
