Ecoregions;Fish_RichnessDiff;SumNat_PFC;Habitat_Heterogeneity;Pred_RichnessDiff_Fish;lower_RichnessDiff_Fish;upperr_RichnessDiff_fish
CPL;0.003544033;0.994617518;1.084;-9.893381783;-10.19173502;-9.595028551
SAP;0.002177273;0.837746529;1.086;-9.89398422;-10.19234431;-9.595624125
CPL;0.000943902;0.815584379;1.089;-9.894887875;-10.1932585;-9.596517251
SAP;0.001012492;0.880179615;1.091;-9.895490312;-10.19386811;-9.59711251
SAP;0.000881639;1.208186041;1.092;-9.895791531;-10.19417297;-9.597410093
SAP;0.001068987;1.017247405;1.093;-9.896092749;-10.19447786;-9.597707643
SAP;0.000918085;1.045836231;1.094;-9.896393968;-10.19478277;-9.598005163
CPL;0.000873298;1.259404755;1.096;-9.896996405;-10.1953927;-9.598600106
CPL;0.000931866;1.246927538;1.098;-9.897598841;-10.19600276;-9.599194924
SAP;0.00093685;1.045836231;1.1;-9.898201278;-10.19661294;-9.599789615
SAP;0.001180848;1.179811496;1.103;-9.899104934;-10.19752845;-9.600681415
NAP;0.001086144;1.259404755;1.104;-9.899406152;-10.19783369;-9.600978619
NAP;0.002028628;1.138754457;1.105;-9.899707371;-10.19813895;-9.601275791
NAP;0.001257989;0.958396827;1.108;-9.900611026;-10.19905493;-9.602167118
NAP;0.00168255;0.880179615;1.109;-9.900912244;-10.19936032;-9.602464164
NAP;0.000871697;1.153169995;1.11;-9.901213463;-10.19966575;-9.602761179
NAP;0.001412231;1.307316662;1.112;-9.9018159;-10.20027669;-9.603355113
NAP;0.001439966;1.259404755;1.114;-9.902418337;-10.20088775;-9.603948921
NAP;0.002050715;1.221325798;1.117;-9.903321992;-10.20180459;-9.604839397
NAP;0.001122123;1.234237026;1.118;-9.90362321;-10.20211026;-9.605136159
NAP;0.002615974;1.434894322;1.121;-9.904526866;-10.20302748;-9.606026256
NAP;0.001077717;0.958396827;1.123;-9.905129303;-10.20363911;-9.606619497
NAP;0.000983114;0.815584379;1.124;-9.905430521;-10.20394497;-9.60691607
NAP;0.001019088;0.579171687;1.125;-9.905731739;-10.20425087;-9.607212611
NAP;0.000833888;1.039207822;1.126;-9.906032958;-10.20455679;-9.607509121
NAP;0.00091183;0.939601472;1.13;-9.907237832;-10.20578082;-9.608694846
