Ecoregions;Insect_RichnessDiff;SumNat_PFC;Habitat_Heterogeneity;Pred_RichnessDiff_Insect;lower_RichnessDiff_Insect;upperr_RichnessDiff_Insect
CPL;0.00039675;1.040418172;0.941;-10.27985661;-10.5617325;-9.99798073
SAP;0.000755498;1.103309848;0.942;-10.28032664;-10.56220091;-9.998452374
SAP;0.000915078;0.740969646;0.944;-10.2812667;-10.5631379;-9.999395506
SAP;0.000764321;0.276722704;0.946;-10.28220676;-10.56407509;-10.00033843
SAP;0.000604306;0.915550072;0.949;-10.28361684;-10.56548127;-10.00175242
CPL;0.000739069;0.477554166;0.952;-10.28502693;-10.56688793;-10.00316594
NAP;0.000583241;1.132855025;0.953;-10.28549696;-10.56735691;-10.003637
CPL;0.000875246;0.854814692;0.955;-10.28643702;-10.56829505;-10.00457898
WMT;0.000404572;1.072533273;0.957;-10.28737707;-10.5692334;-10.00552075
XER;0.00049003;1.465342393;0.96;-10.28878716;-10.57064131;-10.00693301
TPL;0.000427099;0.765185945;0.961;-10.28925719;-10.57111072;-10.00740366
NAP;0.000828351;0.998204915;0.964;-10.29066728;-10.57251926;-10.00881529
NAP;0.001167312;1.265087684;0.966;-10.29160733;-10.57345855;-10.00975612
UMW;0.00039081;0.477554166;0.97;-10.29348745;-10.57533776;-10.01163714
UMW;0.001202002;0.895854746;0.972;-10.2944275;-10.57627768;-10.01257733
CPL;0.000433971;0.895854746;0.974;-10.29536756;-10.57721781;-10.01351732
SAP;0.000534098;1.056650275;0.975;-10.29583759;-10.57768795;-10.01398723
WMT;0.001016965;1.277096581;0.976;-10.29630762;-10.57815814;-10.0144571
SPL;0.000443414;0.971668015;0.977;-10.29677765;-10.57862839;-10.01492691
UMW;0.000431161;0.765185945;0.978;-10.29724768;-10.57909869;-10.01539666
UMW;0.000769239;0.854814692;0.979;-10.29771771;-10.57956904;-10.01586637
CPL;0.000619226;0.983157924;0.981;-10.29865776;-10.58050991;-10.01680562
WMT;0.001582575;0.953431757;0.982;-10.29912779;-10.58098042;-10.01727517
CPL;0.000369239;0.934733772;0.983;-10.29959782;-10.58145098;-10.01774466
CPL;0.000922795;1.006842803;0.986;-10.30100791;-10.58286298;-10.01915283
NAP;0.000623767;1.103309848;0.989;-10.30241799;-10.58427545;-10.02056053
SAP;0.00037857;0.897848084;0.991;-10.30335805;-10.58521736;-10.02149874
UMW;0.00066324;1.118230172;0.992;-10.30382808;-10.5856884;-10.02196776
CPL;0.000993879;1.040418172;0.997;-10.30617822;-10.58804435;-10.02431209
CPL;0.000538984;0.934733772;0.998;-10.30664825;-10.5885157;-10.0247808
CPL;0.000803384;0.953431757;1;-10.30758831;-10.58945856;-10.02571806
TPL;0.001170364;0.321495863;1.002;-10.30852837;-10.59040162;-10.02665511
SAP;0.001438899;0.606319536;1.005;-10.30993845;-10.59181661;-10.02806029
SAP;0.000422351;0.690016276;1.007;-10.31087851;-10.5927602;-10.02899682
SAP;0.000349103;1.006842803;1.008;-10.31134854;-10.59323207;-10.029465
SAP;0.000876146;1.161263564;1.009;-10.31181857;-10.593704;-10.02993314
NAP;0.000566445;1.118230173;1.012;-10.31322865;-10.59512009;-10.03133722
CPL;0.000908115;0.477554166;1.014;-10.31416871;-10.59606441;-10.03227301
SAP;0.000350551;1.214998598;1.015;-10.31463874;-10.59653665;-10.03274083
SAP;0.000430618;1.072533273;1.017;-10.3155788;-10.59748129;-10.03367631
CPL;0.001014516;0.788633341;1.022;-10.31792894;-10.59984379;-10.03601409
SAP;0.001405611;1.046547095;1.024;-10.318869;-10.60078916;-10.03694883
NAP;0.001072215;0.875619756;1.025;-10.31933903;-10.60126193;-10.03741613
SAP;0.000412382;0.715932301;1.027;-10.32027908;-10.60220761;-10.03835056
UMW;0.000363992;0.971668015;1.034;-10.32356928;-10.60551915;-10.04161941
CPL;0.001801229;1.288913328;1.037;-10.32497937;-10.60693917;-10.04301957
CPL;0.001640847;1.277096581;1.039;-10.32591943;-10.60788611;-10.04395274
SAP;0.000788113;1.006842803;1.04;-10.32638946;-10.60835966;-10.04441925
SAP;0.001302374;1.300543977;1.042;-10.32732951;-10.60930692;-10.04535211
CPL;0.001662819;0.811359163;1.044;-10.32826957;-10.61025438;-10.04628476
SAP;0.000811112;0.895854746;1.046;-10.32920963;-10.61120206;-10.0472172
CPL;0.000401688;1.103309848;1.047;-10.32967966;-10.61167597;-10.04768334
XER;0.000476104;1.161263564;1.048;-10.33014969;-10.61214994;-10.04814943
TPL;0.003035775;0.971668015;1.05;-10.33108974;-10.61309803;-10.04908145
SAP;0.000385877;0.544739638;1.053;-10.33249983;-10.61452057;-10.05047909
SAP;0.000623844;0.690016276;1.054;-10.33296986;-10.61499485;-10.05094487
WMT;0.000439646;1.300543977;1.055;-10.33343989;-10.61546918;-10.05141059
SAP;0.000563317;1.132855026;1.057;-10.33437994;-10.61641801;-10.05234188
CPL;0.001043581;1.137666319;1.06;-10.33579003;-10.61784164;-10.05373842
SAP;0.001077482;1.147195883;1.062;-10.33673009;-10.61879099;-10.05466919
SAP;0.00067194;0.971668015;1.063;-10.33720012;-10.61926574;-10.05513449
SAP;0.000380439;0.854814692;1.064;-10.33767015;-10.61974055;-10.05559975
SAP;0.001053318;1.201926913;1.065;-10.33814017;-10.6202154;-10.05606495
UMW;0.000432536;0.811359162;1.068;-10.33955026;-10.62164029;-10.05746023
UMW;0.001186045;1.132855025;1.069;-10.34002029;-10.62211536;-10.05792522
NAP;0.000428901;0.903796016;1.071;-10.34096035;-10.62306565;-10.05885505
NAP;0.001247903;0.57617123;1.073;-10.3419004;-10.62401614;-10.05978466
SAP;0.001055446;1.147195882;1.074;-10.34237043;-10.62449147;-10.06024939
SAP;0.000865267;0.606319536;1.077;-10.34378052;-10.62591777;-10.06164327
WMT;0.00030838;1.118230173;1.079;-10.34472058;-10.6268689;-10.06257226
CPL;0.000362204;1.201926913;1.08;-10.3451906;-10.62734454;-10.06303667
WMT;0.000493573;1.323269799;1.083;-10.34660069;-10.62877178;-10.0644296
CPL;0.000360913;0.635285246;1.085;-10.34754075;-10.62972353;-10.06535797
CPL;0.003620949;0.953431757;1.087;-10.34848081;-10.63067549;-10.06628612
TPL;0.000347574;0.788633341;1.088;-10.34895083;-10.63115155;-10.06675012
SAP;0.000509974;1.311994298;1.09;-10.34989089;-10.63210383;-10.06767796
CPL;0.001723475;0.064260594;1.091;-10.35036092;-10.63258004;-10.0681418
SAP;0.001604226;0.403639436;1.093;-10.35130098;-10.63353263;-10.06906932
SAP;0.000411204;1.132855025;1.094;-10.35177101;-10.63400901;-10.06953301
TPL;0.000404454;0.875619757;1.097;-10.35318109;-10.63543844;-10.07092375
WMT;0.000787326;1.259009205;1.098;-10.35365112;-10.63591502;-10.07138722
XER;0.000765229;1.437114845;1.099;-10.35412115;-10.63639165;-10.07185065
CPL;0.001228993;1.147195883;1.102;-10.35553124;-10.63782187;-10.0732406
SAP;0.000627718;0.690016276;1.103;-10.35600126;-10.63829871;-10.07370382
TPL;0.00043701;0.915550072;1.104;-10.35647129;-10.63877561;-10.07416698
SAP;0.000378641;0.811359163;1.106;-10.35741135;-10.63972955;-10.07509315
TPL;0.00171491;0.668608083;1.108;-10.35835141;-10.64068371;-10.07601911
CPL;0.000538524;1.201926913;1.111;-10.35976149;-10.64211533;-10.07740766
WMT;0.000445168;0.989464802;1.112;-10.36023152;-10.64259264;-10.0778704
NAP;0.000405786;0.971668015;1.115;-10.36164161;-10.64402489;-10.07925833
TPL;0.002540144;0.915550072;1.117;-10.36258167;-10.64497999;-10.08018335
WMT;0.000348297;0.875619756;1.118;-10.3630517;-10.64545761;-10.08064578
NAP;0.000488546;1.245457799;1.12;-10.36399175;-10.64641302;-10.08157049
SAP;0.000666736;0.635285247;1.121;-10.36446178;-10.6468908;-10.08203276
WMT;0.000958376;0.989464802;1.124;-10.36587187;-10.64832446;-10.08341928
WMT;0.001303064;1.240467706;1.125;-10.3663419;-10.64880244;-10.08388135
NAP;0.000801102;0.715932301;1.126;-10.36681193;-10.64928049;-10.08434336
WMT;0.000480243;1.056650275;1.127;-10.36728195;-10.64975858;-10.08480533
WMT;0.000805675;1.323269799;1.128;-10.36775198;-10.65023673;-10.08526724
SAP;0.000767877;0.989464802;1.129;-10.36822201;-10.65071492;-10.0857291
WMT;0.000380437;1.323269799;1.131;-10.36916207;-10.65167148;-10.08665266
WMT;0.000966104;0.854814692;1.133;-10.37010213;-10.65262824;-10.08757602
WMT;0.001171928;1.103309848;1.138;-10.37245227;-10.65502105;-10.08988349
CPL;0.000707432;0.854814692;1.14;-10.37339233;-10.65597854;-10.09080612
SAP;0.000616422;1.040418172;1.142;-10.37433238;-10.65693623;-10.09172853
SAP;0.001618217;1.161263564;1.146;-10.3762125;-10.65885225;-10.09357275
CPL;0.000504813;0.477554166;1.147;-10.37668253;-10.65933139;-10.09403367
CPL;0.002026387;0.36370912;1.153;-10.3795027;-10.66220729;-10.09679811
SAP;0.000469429;0.8334065;1.158;-10.38185284;-10.6646053;-10.09910039
SAP;0.001643029;0.740969646;1.161;-10.38326293;-10.66604473;-10.10048113
TPL;0.000410171;0.321495863;1.166;-10.38561307;-10.66844481;-10.10278133
TPL;0.001015423;1.098990942;1.167;-10.3860831;-10.66892499;-10.10324122
SPL;0.000590602;1.118230173;1.169;-10.38702316;-10.66988549;-10.10416083
SAP;0.000995608;1.37720112;1.171;-10.38796322;-10.6708462;-10.10508024
CPL;0.002048563;1.088081867;1.172;-10.38843325;-10.67132663;-10.10553986
SAP;0.001658569;0.635285246;1.174;-10.3893733;-10.67228765;-10.10645895
WMT;0.000579312;1.221448691;1.175;-10.38984333;-10.67276824;-10.10691842
WMT;0.00037132;1.094210789;1.176;-10.39031336;-10.67324888;-10.10737784
SAP;0.000707564;1.323269799;1.181;-10.3926635;-10.67565286;-10.10967415
NAP;0.00041866;0.8334065;1.183;-10.39360356;-10.67661481;-10.11059231
WMT;0.000436818;1.118230173;1.185;-10.39454362;-10.67757697;-10.11151027
CPL;0.000352352;0.934733772;1.187;-10.39548368;-10.67853934;-10.11242802
NAP;0.00049694;1.298232454;1.189;-10.39642373;-10.67950191;-10.11334556
SAP;0.001332053;1.147195883;1.198;-10.40065399;-10.68383606;-10.11747193
WMT;0.001546334;1.265087683;1.201;-10.40206408;-10.6852817;-10.11884645
WMT;0.001703073;1.214998598;1.202;-10.40253411;-10.68576369;-10.11930452
NAP;0.001261514;1.188619689;1.205;-10.40394419;-10.68720995;-10.12067843
CPL;0.002300082;1.300543977;1.206;-10.40441422;-10.68769215;-10.1211363
TPL;0.000892722;0.953431757;1.208;-10.40535428;-10.68865669;-10.12205187
SAP;0.000629138;0.788633341;1.209;-10.40582431;-10.68913903;-10.12250958
TPL;0.00061068;1.056650275;1.211;-10.40676436;-10.69010388;-10.12342485
SAP;0.000587856;0.663157646;1.212;-10.40723439;-10.69058638;-10.1238824
SAP;0.000664203;0.915550072;1.213;-10.40770442;-10.69106894;-10.12433991
SAP;0.000611954;1.147195883;1.215;-10.40864448;-10.6920342;-10.12525476
SAP;0.002858443;0.854814692;1.218;-10.41005457;-10.69348248;-10.12662666
SAP;0.000453291;0.915550072;1.221;-10.41146465;-10.69493122;-10.12799809
SAP;0.000350075;1.040418172;1.225;-10.41334477;-10.6968636;-10.12982594
UMW;0.000910457;1.188619689;1.226;-10.4138148;-10.69734682;-10.13028277
NAP;0.000666319;1.446644409;1.227;-10.41428482;-10.6978301;-10.13073955
NAP;0.00078509;1.204851791;1.228;-10.41475485;-10.69831342;-10.13119628
WMT;0.000343597;0.854814692;1.232;-10.41663497;-10.70024724;-10.13302269
NAP;0.000479468;1.023821273;1.233;-10.417105;-10.70073083;-10.13347917
SAP;0.000580737;0.690016276;1.234;-10.41757503;-10.70121446;-10.13393559
SAP;0.000499281;1.288913328;1.236;-10.41851508;-10.70218189;-10.13484828
CPL;0.000840699;1.023821273;1.238;-10.41945514;-10.70314952;-10.13576076
CPL;0.000585633;0.715932302;1.239;-10.41992517;-10.70363341;-10.13621693
TPL;0.000693123;1.040418172;1.24;-10.4203952;-10.70411735;-10.13667304
WMT;0.000873378;1.382383815;1.242;-10.42133525;-10.70508539;-10.13758512
NAP;0.001006154;0.953431757;1.243;-10.42180528;-10.70556949;-10.13804108
NAP;0.001948518;0.715932302;1.245;-10.42274534;-10.70653784;-10.13895284
UMW;0.000349135;1.132855025;1.248;-10.42415543;-10.70799075;-10.1403201
UMW;0.000892704;1.166816454;1.249;-10.42462546;-10.70847516;-10.14077575
CPL;0.000609106;0.875619756;1.252;-10.42603554;-10.70992868;-10.1421424
CPL;0.000461922;1.072533273;1.253;-10.42650557;-10.71041329;-10.14259785
CPL;0.000428854;0.934733772;1.254;-10.4269756;-10.71089796;-10.14305324
WMT;0.000403526;1.118230173;1.255;-10.42744563;-10.71138267;-10.14350859
SAP;0.001109122;1.161263564;1.257;-10.42838569;-10.71235225;-10.14441912
TPL;0.001131732;0.576171231;1.259;-10.42932574;-10.71332204;-10.14532945
TPL;0.000678736;1.240467706;1.261;-10.4302658;-10.71429203;-10.14623957
UMW;0.000577291;0.854814692;1.263;-10.43120586;-10.71526223;-10.14714949
XER;0.001539045;0.765185945;1.264;-10.43167589;-10.7157474;-10.14760437
XER;0.000435609;1.023821273;1.265;-10.43214591;-10.71623263;-10.1480592
NAP;0.000485292;1.056650275;1.266;-10.43261594;-10.71671791;-10.14851398
NAP;0.001033998;0.715932301;1.269;-10.43402603;-10.71817404;-10.14987801
NAP;0.001350788;1.387530393;1.27;-10.43449606;-10.71865953;-10.15033259
CPL;0.001900864;0.391885379;1.271;-10.43496609;-10.71914506;-10.15078711
UMW;0.001693869;0.953431757;1.272;-10.43543612;-10.71963064;-10.15124159
WMT;0.000582987;1.518753439;1.273;-10.43590614;-10.72011628;-10.15169601
WMT;0.001285178;0.953431757;1.277;-10.43778626;-10.72205933;-10.15351319
WMT;0.000523121;1.023821273;1.279;-10.43872632;-10.72303117;-10.15442147
UMW;0.00088721;1.147195883;1.281;-10.43966637;-10.7240032;-10.15532954
TPL;0.001778883;0.915550072;1.283;-10.44060643;-10.72497545;-10.15623742
NAP;0.000432279;1.334375737;1.287;-10.44248655;-10.72692054;-10.15805255
NAP;0.000394266;1.300543977;1.288;-10.44295658;-10.72740694;-10.15850621
CPL;0.000419247;0.989464802;1.289;-10.4434266;-10.7278934;-10.15895981
SAP;0.001214068;0.833406499;1.29;-10.44389663;-10.7283799;-10.15941336
SAP;0.000488495;0.811359163;1.292;-10.44483669;-10.72935306;-10.16032032
UMW;0.000625791;1.300543977;1.298;-10.44765686;-10.73227377;-10.16303996
XER;0.000470047;0.895854746;1.301;-10.44906695;-10.7337348;-10.16439909
XER;0.000407408;0.989464802;1.302;-10.44953698;-10.73422192;-10.16485203
WMT;0.000584457;1.072533273;1.303;-10.45000701;-10.73470908;-10.16530493
SAP;0.000383575;0.875619756;1.308;-10.45235715;-10.73714568;-10.16756862
SAP;0.000589291;0.971668015;1.311;-10.45376724;-10.73860824;-10.16892623
SAP;0.000368082;0.953431757;1.312;-10.45423726;-10.73909586;-10.16937866
SAP;0.000558397;0.953431757;1.313;-10.45470729;-10.73958354;-10.16983105
CPL;0.002549461;1.056650275;1.319;-10.45752746;-10.74251065;-10.17254428
UMW;0.000540276;1.175068282;1.323;-10.45940758;-10.74446307;-10.17435209
WMT;0.0004635;1.366725329;1.334;-10.4645779;-10.74983641;-10.17931939
SAP;0.000668351;0.915550072;1.335;-10.46504792;-10.75032519;-10.17977065
WMT;0.000747324;1.175068282;1.344;-10.46927818;-10.75472657;-10.1838298
CPL;0.001239834;1.188619689;1.345;-10.46974821;-10.75521586;-10.18428056
NAP;0.001275477;1.265087684;1.346;-10.47021824;-10.75570521;-10.18473127
XER;0.000605289;1.323269799;1.347;-10.47068827;-10.7561946;-10.18518194
CPL;0.001135081;1.006842803;1.353;-10.47350844;-10.75913203;-10.18788485
TPL;0.001021584;0.934733772;1.356;-10.47491853;-10.76060142;-10.18923563
SAP;0.000431159;1.161263564;1.357;-10.47538856;-10.76109132;-10.18968579
WMT;0.000808994;1.356098801;1.36;-10.47679864;-10.76256132;-10.19103596
WMT;0.000398621;1.006842803;1.361;-10.47726867;-10.76305142;-10.19148592
SAP;0.000397566;1.132855025;1.363;-10.47820873;-10.76403177;-10.19238569
NAP;0.000864872;1.147195883;1.367;-10.48008884;-10.76599308;-10.19418461
TPL;0.000987044;0.663157646;1.371;-10.48196896;-10.76795518;-10.19598273
TPL;0.000741121;0.663157646;1.377;-10.48478913;-10.77089985;-10.19867841
TPL;0.000751058;0.674018591;1.382;-10.48713927;-10.77335512;-10.20092343
WMT;0.000444271;0.971668015;1.387;-10.48948942;-10.77581164;-10.20316719
TPL;0.000401408;1.103309848;1.388;-10.48995945;-10.77630309;-10.2036158
SAP;0.000636965;1.454492845;1.389;-10.49042947;-10.7767946;-10.20406435
NAP;0.000501095;0.985939588;1.392;-10.49183956;-10.77826941;-10.20540971
NAP;0.001717293;1.118230172;1.398;-10.49465973;-10.78122038;-10.20809908
TPL;0.001140743;1.023821273;1.406;-10.49841996;-10.78515781;-10.21168212
WMT;0.000345198;1.209424753;1.408;-10.49936002;-10.78614266;-10.21257738
TPL;0.001452791;1.214998598;1.417;-10.50359028;-10.79057696;-10.21660359
NAP;0.001165079;1.161263564;1.418;-10.50406031;-10.79106991;-10.2170507
SAP;0.000472493;0.811359163;1.425;-10.50735051;-10.79452195;-10.22017907
SAP;0.000772782;0.788633341;1.427;-10.50829057;-10.79550869;-10.22107244
WMT;0.000479191;1.040418172;1.437;-10.51299085;-10.80044536;-10.22553634
